DATE_,the_geom,COLLECTOR,SECTION_,PATROL,ROUTE,ROAD_TYPE,REF_PT,COMMENTS,DATAFILE
09/22/2000 12:00:00 AM +0000,POINT (-108.95726657645392 38.66049282332835),"Shrader, Buck",2,4,141A,Main_Hwy,109,,
09/22/2000 12:00:00 AM +0000,POINT (-108.97213629222942 38.67055801214206),"Shrader, Buck",2,4,141A,Main_Hwy,110,,
09/22/2000 12:00:00 AM +0000,POINT (-108.97828611357376 38.681433567019155),"Shrader, Buck",2,4,141A,Main_Hwy,111,,
09/22/2000 12:00:00 AM +0000,POINT (-108.96290723183033 38.68826635240025),"Shrader, Buck",2,4,141A,Main_Hwy,112,,
09/22/2000 12:00:00 AM +0000,POINT (-108.94918662259428 38.69786046641672),"Shrader, Buck",2,4,141A,Main_Hwy,113,,
09/22/2000 12:00:00 AM +0000,POINT (-108.93684767841678 38.7084580848264),"Shrader, Buck",2,4,141A,Main_Hwy,114,,
09/22/2000 12:00:00 AM +0000,POINT (-108.9234457849655 38.71772584998333),"Shrader, Buck",2,4,141A,Main_Hwy,115,,
09/22/2000 12:00:00 AM +0000,POINT (-108.90769460765638 38.72406028444049),"Shrader, Buck",2,4,141A,Main_Hwy,116,,
09/22/2000 12:00:00 AM +0000,POINT (-108.90254338787084 38.73482632435641),"Shrader, Buck",2,4,141A,Main_Hwy,117,,
09/22/2000 12:00:00 AM +0000,POINT (-108.90504025151895 38.74830759968217),"Shrader, Buck",2,4,141A,Main_Hwy,118,,
09/22/2000 12:00:00 AM +0000,POINT (-108.89942856913996 38.76177421109715),"Shrader, Buck",2,4,141A,Main_Hwy,119,,
09/22/2000 12:00:00 AM +0000,POINT (-108.88685710222214 38.77128179271871),"Shrader, Buck",2,4,141A,Main_Hwy,120,,
09/22/2000 12:00:00 AM +0000,POINT (-108.87038770646004 38.777212033232324),"Shrader, Buck",2,4,141A,Main_Hwy,121,,
09/22/2000 12:00:00 AM +0000,POINT (-108.85324119457731 38.78057985163059),"Shrader, Buck",2,4,141A,Main_Hwy,122,,
09/22/2000 12:00:00 AM +0000,POINT (-108.83612985189684 38.77667798608776),"Shrader, Buck",2,4,141A,Main_Hwy,123,,
09/22/2000 12:00:00 AM +0000,POINT (-108.81827854769483 38.770849132506044),"Shrader, Buck",2,4,141A,Main_Hwy,124,,
09/22/2000 12:00:00 AM +0000,POINT (-108.8000856992671 38.77022685132805),"Shrader, Buck",2,4,141A,Main_Hwy,125,,
09/22/2000 12:00:00 AM +0000,POINT (-108.78313101324498 38.76639736286559),"Shrader, Buck",2,4,141A,Main_Hwy,126,,
09/22/2000 12:00:00 AM +0000,POINT (-108.76890720169348 38.757634212605915),"Shrader, Buck",2,4,141A,Main_Hwy,127,,
09/22/2000 12:00:00 AM +0000,POINT (-108.75496791686605 38.7565306178479),"Shrader, Buck",2,4,141A,Main_Hwy,128,,
09/22/2000 12:00:00 AM +0000,POINT (-108.74178031372426 38.76573889700719),"Shrader, Buck",2,4,141A,Main_Hwy,129,,
